Model,Cluster,Group,CondoComplex,CondoComplexName,NBHD,PARCEL,ABSTRPRD,LIVEAREA,FINBSMNT,BASEMENT,YRBUILT,CONDITION,QUALITY,TOTUNITS,STORIES,GARTYPE,NOCARS,XTRAFFIC,FLOORLVL,NUMBDRM,NUMBATHS,COMMUSE,ARCSTYLE,SPRICE,DEDUCT,NETPRICE,TASP,SMONTH,SYEAR,QUALIFIED,STATUS
7,3,,,,216,02201-00-012-000,1112,846,0,0,1941,Good,C,1,1,Det,1,,,2,1,,ONE-STORY,199000,0,199000,199000,5,2011,Q,I
7,3,,,,216,02201-00-018-000,1112,1145,0,0,1941,AVG,C,1,1,CP,2,,,2,1,,ONE-STORY,130000,0,130000,130000,3,2011,U,I
7,3,,,,216,02201-00-020-000,1112,798,0,0,1941,AVG,C,1,1,Att,1,,,2,1,,ONE-STORY,83500,0,83500,83500,1,2012,U,I
7,3,,,,216,02201-00-026-000,1112,993,672,672,1941,Good,C,1,1,Att,1,,,2,2,,ONE-STORY,146500,0,146500,146500,2,2011,U,I
7,3,,,,216,02201-00-026-000,1112,993,672,672,1941,Good,C,1,1,Att,1,,,2,2,,ONE-STORY,270000,5000,265000,265000,7,2011,Q,I
7,3,,,,216,02201-00-034-000,1112,1264,384,1040,1954,AVG,C,1,1,Det,2,,,2,2,,ONE-STORY,160000,0,160000,160000,10,2011,U,I
7,3,,,,216,02201-01-010-000,1112,1272,608,1272,1959,Good,C,1,1,Det,3,,,3,2,,ONE-STORY,260000,0,260000,260000,12,2011,Q,I
7,3,,,,216,02201-01-011-000,1112,961,0,0,1949,AVG,C,1,1,None,0,,,3,1,,ONE-STORY,130000,3858,126142,126142,5,2011,U,I
7,3,,,,216,02201-01-019-000,1112,1215,873,873,1950,Good,C,1,1,Att,1,,,2,2,,ONE-STORY,130000,0,130000,130000,11,2011,U,I
7,3,,,,216,02201-01-019-000,1112,1215,873,873,1950,Good,C,1,1,Att,1,,,2,2,,ONE-STORY,270000,6409,263591,263591,5,2012,Q,I
7,3,,,,216,02201-01-020-000,1112,1068,311,1068,1949,AVG,C,1,1,None,0,,,2,1,,ONE-STORY,170000,0,170000,170000,9,2011,U,I
7,3,,,,216,02201-02-006-000,1112,905,829,873,1941,AVG,C,1,1,Det,1,,,2,1,,ONE-STORY,183700,3289,180411,180411,1,2011,Q,I
7,3,,,,216,02201-02-016-000,1112,1014,894,1014,1939,Good,C,1,1,Det,1,,,2,1,,ONE-STORY,229900,3299,226601,226601,2,2011,Q,I
7,3,,,,216,02201-02-019-000,1112,1130,0,0,1902,Good,C,1,2,Det,2,,,2,1,,ONE AND HALF-STORY,207318,0,207318,207318,6,2011,Q,I
7,3,,,,216,02201-02-028-000,1112,1313,0,393,1900,AVG,C,1,1,Det,2,,,4,2,,ONE-STORY,125000,0,125000,125000,7,2011,U,I
7,3,,,,216,02201-02-028-000,1112,1313,0,393,1900,AVG,C,1,1,Det,2,,,4,2,,ONE-STORY,242000,1250,240750,240750,3,2012,Q,I
216,,,,,216,02201-02-029-000,101,0,0,0,0,,,0,0,None,0,,,0,0,,,125000,0,125000,125000,7,2011,U,I
216,,,,,216,02201-02-029-000,101,0,0,0,0,,,0,0,None,0,,,0,0,,,30000,0,30000,30000,4,2012,U,V
7,3,,,,216,02201-03-008-000,1112,926,0,0,1906,AVG,C,1,1,Det,2,,,2,1,,ONE-STORY,169000,4000,165000,165000,11,2010,Q,I
7,3,,,,216,02201-03-014-000,1112,981,750,981,1933,Good,C,1,1,Det,1,,,2,2,,ONE-STORY,150725,0,150725,150725,4,2011,U,I
7,3,,,,216,02201-03-014-000,1112,981,750,981,1933,Good,C,1,1,Det,1,,,2,2,,ONE-STORY,289000,3237,285763,285763,3,2012,Q,I
7,3,,,,216,02201-03-015-000,1112,938,600,757,1932,Good,C,1,1,None,0,,,2,1,,ONE-STORY,253000,4000,249000,249000,3,2012,Q,I
7,3,,,,216,02201-04-004-000,1112,1063,850,1063,1962,AVG,C,1,1,Det,3,,,2,2,,ONE-STORY,180000,0,180000,180000,4,2012,U,I
7,3,,,,216,02201-04-008-000,1112,987,900,987,1949,Good,C,1,1,Att/Det,2,,,3,2,,ONE-STORY,190000,0,190000,190000,9,2010,U,I
7,3,,,,216,02201-04-014-000,1112,975,0,378,1929,AVG,C,1,1,None,0,,,2,1,,ONE-STORY,126000,0,126000,126000,4,2012,U,I
7,3,,,,216,02201-04-018-000,1112,897,0,0,1946,AVG,C,1,1,Det,4,,,2,1,,ONE-STORY,95000,0,95000,95000,10,2011,U,I
7,3,,,,216,02201-05-024-000,1112,780,0,300,1924,AVG,C,1,1,Det,1,,,2,1,,ONE-STORY,178000,3400,174600,174600,2,2011,Q,I
7,3,,,,216,02201-05-029-000,1112,960,576,576,1928,AVG,C,1,1,Det,2,,,2,2,,ONE-STORY,80450,0,80450,80450,3,2011,U,I
7,3,,,,216,02201-05-029-000,1112,960,576,576,1928,AVG,C,1,1,Det,2,,,2,2,,ONE-STORY,189900,3505,186395,186395,12,2011,U,I
7,3,,,,216,02201-06-012-000,1112,1347,1347,1347,1948,AVG,C,1,1,Det,3,,,2,2,,ONE-STORY,179570,0,179570,179570,11,2010,U,I
7,4,,,,216,02201-08-002-000,1112,1179,915,1154,1926,AVG,B,1,1,det/CP,3,1,,2,2,,ONE-STORY,189000,0,189000,189000,10,2010,U,I
7,3,,,,216,02201-08-010-000,1112,1295,227,1295,1951,AVG,C,1,1,Det,3,,,3,2,,ONE-STORY,100000,0,100000,100000,2,2011,U,I
7,3,,,,216,02201-08-021-000,1112,1094,944,1094,1951,Good,C,1,1,CP,2,,,2,2,,ONE-STORY,239000,0,239000,239000,3,2011,U,I
7,4,,,,216,02201-08-025-000,1112,1396,1396,1502,1926,AVG,C,1,1,det/CP,2,,,3,1,,ONE-STORY,100500,0,100500,100500,5,2011,U,I
7,4,,,,216,02201-09-036-000,1112,1365,0,1365,1983,AVG,C,1,1,Det,2,1,,3,2,,ONE-STORY,99000,0,99000,99000,3,2012,U,I
7,4,,,,216,02201-09-039-000,1112,1179,1179,1179,1930,AVG,C,1,1,Det,4,,,2,2,,ONE-STORY,258000,5692,252308,252308,12,2010,Q,I
7,3,,,,216,02201-09-057-000,1112,1108,0,364,1928,AVG,C,1,2,Det,2,,,3,1,,ONE AND HALF-STORY,167500,0,167500,167500,11,2010,Q,I
55,3,,,,216,02201-09-062-000,1114,1046,0,0,1999,AVG,C,1,1,None,0,1,,3,2,,END UNIT,141545,0,141545,141545,6,2012,U,I
7,3,,,,216,02201-10-002-000,1112,1055,437,874,1942,AVG,C,1,1,Det,4,,,2,2,,ONE-STORY,225000,0,225000,225000,8,2011,U,I
7,3,,,,216,02201-10-004-000,1112,846,0,322,1910,Good,C,1,1,Det,1,,,2,1,,ONE-STORY,159900,4799,155101,155101,11,2011,U,I
7,3,,,,216,02201-10-018-000,1112,1136,1022,1136,1960,AVG,C,1,1,None,0,,,3,2,,ONE-STORY,204000,2960,201040,201040,12,2010,U,I
7,3,,,,216,02201-11-007-000,1112,1121,0,100,1905,Good,C,1,2,det/CP,3,,,2,1,,ONE AND HALF-STORY,245000,0,245000,245000,6,2012,Q,I
7,3,,,,216,02201-11-010-000,1112,1334,374,720,1900,Good,C,1,2,Det,2,,,3,2,,ONE AND HALF-STORY,110000,0,110000,110000,10,2010,U,I
7,3,,,,216,02201-11-019-000,1112,1316,0,0,1909,Good,C,1,2,Det,1,,,2,2,,ONE AND HALF-STORY,285000,0,285000,285000,7,2010,Q,I
7,3,,,,216,02201-12-016-000,1112,1059,0,0,1902,AVG,C,1,1,Det,1,,,2,2,,ONE-STORY,187000,2000,185000,185000,9,2010,Q,I
